NAME,TIME,STABILITY
MMR,2015,-1.17
MMR,2016,-0.8
MMR,2017,-1.08
MMR,2018,-1.27
MMR,2019,-1.33
MMR,2020,-1.51
MMR,2021,-2.07
NAM,2014,0.61
NAM,2015,0.73
NAM,2016,0.71
NAM,2017,0.63
NAM,2018,0.69
NAM,2019,0.53
NAM,2020,0.53
NAM,2021,0.55
NRU,2014,0.6
NRU,2015,0.54
NRU,2016,0.58
NRU,2017,0.52
NRU,2018,0.79
NRU,2019,0.77
NRU,2020,0.96
NRU,2021,0.81
NPL,2014,-0.72
NPL,2015,-1
NPL,2016,-0.85
NPL,2017,-0.61
NPL,2018,-0.56
NPL,2019,-0.45
NPL,2020,-0.2
NPL,2021,-0.24
NLD,2014,1.05
NLD,2015,0.93
NLD,2016,0.91
NLD,2017,0.92
NLD,2018,0.85
NLD,2019,0.85
NLD,2020,0.86
NLD,2021,0.92
NZL,2014,1.47
NZL,2015,1.53
NZL,2016,1.52
NZL,2017,1.6
NZL,2018,1.53
NZL,2019,1.41
NZL,2020,1.49
NZL,2021,1.44
NIC,2014,-0.04
NIC,2015,-0.09
NIC,2016,-0.09
NIC,2017,-0.05
NIC,2018,-0.95
NIC,2019,-1
NIC,2020,-0.6
NIC,2021,-0.47
NER,2014,-1.18
NER,2015,-1.07
NER,2016,-1.1
NER,2017,-1.27
NER,2018,-1.36
NER,2019,-1.41
NER,2020,-1.66
NER,2021,-1.62
NGA,2014,-2.13
NGA,2015,-1.93
NGA,2016,-1.88
NGA,2017,-2
NGA,2018,-2.1
NGA,2019,-1.92
NGA,2020,-1.87
NGA,2021,-1.78
MKD,2014,0.26
MKD,2015,-0.29
MKD,2016,-0.35
MKD,2017,-0.25
MKD,2018,-0.21
MKD,2019,0
MKD,2020,0.11
MKD,2021,0.12
NOR,2014,1.12
NOR,2015,1.16
NOR,2016,1.2
NOR,2017,1.17
NOR,2018,1.14
NOR,2019,1.17
NOR,2020,1.25
NOR,2021,1.1
OMN,2014,0.73
OMN,2015,0.78
OMN,2016,0.76
OMN,2017,0.75
OMN,2018,0.65
OMN,2019,0.59
OMN,2020,0.43
OMN,2021,0.51
PAK,2014,-2.4
PAK,2015,-2.48
PAK,2016,-2.48
PAK,2017,-2.41
PAK,2018,-2.27
PAK,2019,-2.27
PAK,2020,-1.79
PAK,2021,-1.67
PLW,2014,0.99
PLW,2015,0.92
PLW,2016,0.95
PLW,2017,0.87
PLW,2018,0.85
PLW,2019,0.88
PLW,2020,0.93
PLW,2021,0.95
PSE,2014,-1.99
PSE,2015,-2.16
PSE,2016,-1.98
PSE,2017,-1.66
PSE,2018,-1.82
PSE,2019,-1.9
PSE,2020,-2.01
PSE,2021,-1.84
PAN,2014,0.21
PAN,2015,0.39
PAN,2016,0.41
PAN,2017,0.39
PAN,2018,0.26
PAN,2019,0.3
PAN,2020,0.24
PAN,2021,0.29
PNG,2014,-0.34
PNG,2015,-0.42
PNG,2016,-0.5
PNG,2017,-0.7
PNG,2018,-0.68
PNG,2019,-0.7
PNG,2020,-0.7
PNG,2021,-0.58
PRY,2014,-0.09
PRY,2015,0.04
PRY,2016,0.14
PRY,2017,0
PRY,2018,-0.08
PRY,2019,-0.01
PRY,2020,0.02
PRY,2021,0
PER,2014,-0.55
PER,2015,-0.4
PER,2016,-0.2
PER,2017,-0.26
PER,2018,-0.27
PER,2019,-0.15
PER,2020,-0.36
PER,2021,-0.41
PHL,2014,-0.71
PHL,2015,-0.86
PHL,2016,-1.38
PHL,2017,-1.19
PHL,2018,-1.09
PHL,2019,-0.92
PHL,2020,-0.75
PHL,2021,-0.93
POL,2014,0.84
POL,2015,0.87
POL,2016,0.51
POL,2017,0.52
POL,2018,0.49
POL,2019,0.56
POL,2020,0.52
POL,2021,0.51
PRT,2014,0.81
PRT,2015,0.92
PRT,2016,0.97
PRT,2017,1.12
PRT,2018,1.13
PRT,2019,1.07
PRT,2020,1.02
PRT,2021,0.95
PRI,2014,0.82
PRI,2015,0.86
PRI,2016,0.69
PRI,2017,0.48
PRI,2018,0.28
PRI,2019,0.14
PRI,2020,0.44
PRI,2021,0.51
QAT,2014,0.98
QAT,2015,1
QAT,2016,0.9
QAT,2017,0.66
QAT,2018,0.66
QAT,2019,0.7
QAT,2020,0.69
QAT,2021,0.96
KOR,2014,0.11
KOR,2015,0.16
KOR,2016,0.16
KOR,2017,0.39
KOR,2018,0.64
KOR,2019,0.55
KOR,2020,0.57
KOR,2021,0.66
MDA,2014,-0.16
MDA,2015,-0.33
MDA,2016,-0.3
MDA,2017,-0.32
MDA,2018,-0.4
MDA,2019,-0.39
MDA,2020,-0.35
MDA,2021,-0.21
ROU,2014,0.05
ROU,2015,0.19
