NAME,TIME,DISTANCE
MDV,2020,8196133.6626235
ISR,2020,3299618.94558762
CPV,2020,4702151.17170244
BHS,2020,7318463.91576034
NZL,2020,18718433.1494219
VNM,2020,8994270.28242011
TUR,2020,2519559.5878406
YEM,2020,5304284.46168348
SYR,2020,3227431.479877
SDN,2020,4652241.7950681
NOR,2020,1088776.24327453
PRK,2020,8535960.75035763
TZA,2020,7211891.80678046
LBR,2020,5131537.13762644
MYS,2020,10256037.5638773
CUB,2020,7823081.29996835
KWT,2020,4328048.14844455
DOM,2020,7337187.3227442
GHA,2020,5037692.01800207
LBY,2020,2120354.04408503
CIV,2020,5104826.82280221
BRA,2020,8957315.01005131
BGD,2020,7731868.61490007
AGO,2020,6666629.08005391
DZA,2020,1566666.2330281
MMR,2020,8705822.05336082
VEN,2020,7794058.24514218
UKR,2020,1843195.41480565
UZB,2020,4966240.27317477
THA,2020,9262590.91987867
PER,2020,10441056.649642
SEN,2020,4459743.33441958
ZAF,2020,8842227.21118599
KOR,2020,8730563.59669894
PHL,2020,10522476.5695618
COD,2020,6202005.91445946
IND,2020,6426974.12217447
IRQ,2020,3776373.25455577
ETH,2020,5603418.43301099
IRN,2020,4092810.19370584
ARG,2020,11281912.1087782
AFG,2020,5422951.00160944
TWN,2020,9603595.15469765
USA,2020,6230189.82264779
GBR,2020,319908.04775968
SAU,2020,4634932.39807306
RUS,2020,2261862.40448956
MEX,2020,9258834.26751577
CHN,2020,7984825.96814558
KEN,2020,6543934.78251629
IDN,2020,11415821.6770929
COL,2020,8800233.2752244
EGY,2020,3211971.80610104
JPN,2020,9476221.68774838
CHL,2020,11865957.9505718
SGP,2020,10565956.610142
VAT,2019,1171580.13762103
SMR,2019,980288.952698828
LIE,2019,559637.576129932
FSM,2019,13131612.2300428
MHL,2019,13465640.6997942
TUV,2019,15288546.0938844
PLW,2019,11986487.7359203
MCO,2019,822262.653255492
KIR,2019,14123959.6002227
COM,2019,7885949.31247121
AND,2019,949760.544652496
TTO,2019,7406590.09532282
RWA,2019,6339643.57162757
SWZ,2019,8943261.69373481
SSD,2019,5696146.38605587
QAT,2019,4899080.52570481
MNE,2019,1469203.71655355
CHE,2019,492639.082484463
