NAME,TIME,RISK
SVK,2023,2.2
SVN,2023,1.6
SWE,2023,1.4
SWZ,2023,3.3
SYC,2023,1.9
SYR,2023,6.9
TGO,2023,4
THA,2023,4
TJK,2023,4.1
TLS,2023,4
TON,2023,3.8
TTO,2023,2.6
TUN,2023,3
TUR,2023,4.7
TZA,2023,5.8
URY,2023,1.8
USA,2023,3.2
UZB,2023,3.4
VEN,2023,5
VNM,2023,3.4
VUT,2023,4.2
WSM,2023,3.1
YEM,2023,8.1
ZAF,2023,5.3
ZMB,2023,4.2
ZWE,2023,4.5
ALB,2023,3.1
AZE,2023,5.8
BEL,2023,1.7
BHS,2023,2.1
BIH,2023,3.5
CAF,2023,8.5
COG,2023,5.2
CYP,2023,2.9
DMA,2023,3.1
ERI,2023,6.2
EST,2023,1.3
GNQ,2023,3.4
GUY,2023,3.6
IRL,2023,1.6
ISL,2023,1.4
ISR,2023,2.8
KWT,2023,1.8
LBR,2023,4.7
LBY,2023,6.2
LTU,2023,1.7
LUX,2023,1
LVA,2023,1.9
MLT,2023,1.9
OMN,2023,2.6
PRK,2023,4.3
RUS,2023,4.1
SAU,2023,3.5
SOM,2023,8.7
SSD,2023,8.4
STP,2023,2.5
SUR,2023,3.2
TCD,2023,7.8
TKM,2023,2.7
UGA,2023,7.1
UKR,2023,5.1
VCT,2023,2.3
BLZ,2023,3.9
KIR,2023,3.4
LIE,2023,0.8
TUV,2023,3.6
AFG,2022,8.1
AGO,2022,4.9
ARE,2022,1.7
ARG,2022,2.9
ARM,2022,3.1
ATG,2022,2.2
AUS,2022,2.3
AUT,2022,1.9
BDI,2022,6
BEN,2022,3.8
BFA,2022,7.1
BGD,2022,5.6
BGR,2022,2.7
BHR,2022,1.3
BLR,2022,1.4
BOL,2022,3.9
BRA,2022,4.6
BRB,2022,2
BRN,2022,1.8
BTN,2022,3.1
BWA,2022,2.9
CAN,2022,2.4
CHE,2022,1.4
CHL,2022,3.4
CHN,2022,3.7
CIV,2022,4.6
CMR,2022,6.5
COD,2022,7.6
COL,2022,5.4
COM,2022,3.9
CPV,2022,2.3
CRI,2022,3.5
CUB,2022,2.3
CZE,2022,1.8
DEU,2022,2.1
DJI,2022,5.1
DNK,2022,1.2
DOM,2022,4.1
DZA,2022,3.7
ECU,2022,4.5
EGY,2022,4.7
ESP,2022,2.3
ETH,2022,7
FIN,2022,0.9
FJI,2022,2.7
FRA,2022,2.3
FSM,2022,3.6
GAB,2022,3.1
GBR,2022,2.1
GEO,2022,3.4
GHA,2022,3.6
GIN,2022,4.8
GMB,2022,3.7
GNB,2022,3.8
GRC,2022,2.8
GRD,2022,1.9
GTM,2022,5.1
HND,2022,5.1
HRV,2022,2.6
HTI,2022,6.6
HUN,2022,1.5
IDN,2022,4.5
IND,2022,5.3
IRN,2022,5.4
IRQ,2022,6.8
ITA,2022,2.6
JAM,2022,3.1
JOR,2022,4.2
JPN,2022,2.2
KAZ,2022,1.8
KEN,2022,6.8
KGZ,2022,3
KHM,2022,4.4
KNA,2022,2
KOR,2022,1.9
LAO,2022,4
LBN,2022,4.5
LCA,2022,2.3
LKA,2022,3.4
LSO,2022,3.9
MAR,2022,3.5
MDA,2022,2.7
MDG,2022,5.3
MDV,2022,2.4
MEX,2022,5.1
MHL,2022,3.5
MKD,2022,2.6
MLI,2022,7
MMR,2022,6.8
MNE,2022,2.7
MNG,2022,2.6
MOZ,2022,7.2
MRT,2022,4.9
MUS,2022,2.1
MWI,2022,4.6
MYS,2022,3
NAM,2022,4
NER,2022,6.8
NGA,2022,6.4
NIC,2022,4.4
NLD,2022,1.5
NOR,2022,0.9
NPL,2022,4.4
NRU,2022,3.2
NZL,2022,1.6
PAK,2022,6.1
PAN,2022,3.9
PER,2022,4.8
PHL,2022,5.4
PLW,2022,3.3
PNG,2022,5.8
POL,2022,1.2
PRT,2022,2
PRY,2022,2.6
PSE,2022,4.5
QAT,2022,1.4
ROU,2022,2
RWA,2022,4.7
SDN,2022,7.1
SEN,2022,4.2
SGP,2022,0.5
SLB,2022,4.5
SLE,2022,4.5
SLV,2022,4.4
SRB,2022,2.8
SVK,2022,1.5
SVN,2022,1.6
SWE,2022,1.4
SWZ,2022,3.3
SYC,2022,1.8
SYR,2022,6.9
TGO,2022,4.1
THA,2022,4.1
TJK,2022,4.1
TLS,2022,4.3
TON,2022,3.5
TTO,2022,2.7
TUN,2022,3
TUR,2022,4.7
TZA,2022,5.7
URY,2022,1.8
USA,2022,3.2
UZB,2022,3.3
VEN,2022,5.1
VNM,2022,3.4
